 kaina_doleriais men 2006:1
"58,30	"
"54,65	"
"55,42	"
"62,50	"
"62,94	"
"62,85	"
66,28
64,93
55,73
50,98
50,98
54,06
"46,53	"
"51,36	"
"52,64	"
"56,08	"
"55,43	"
"59,25	"
65,96
64,23
70,94
77,56
86,92
83,46
"84,70	"
"86,64	"
"96,87	"
"104,31	"
"117,40	"
"126,33	"
126,16
108,46
96,13
68,5
49,29
32,94
"33,07	"
"31,04	"
"40,13	"
"42,45	"
51,27
61,71
"56,16 	 "
62,8
60,98
67,43
69,43
66,33
"69,85	"
"68,04	"
"72,90	"
"76,31	"
"66,25	"
"67,12	"
67,91
68,34
67,18
73,63
76
81,01
"84,47	"
"81,32	"
"94,72	 "
102,15
"92,92	"
87,92
88,82
